word,frequency
तच्छ्रुत्वा,5
तदनु,5
तदयुक्तमित्याह,5
तदयुक्तम्,5
तदुक्तम्,5
तदे॒षाऽभ्यनू,5
तन्न,5
तमः,5
तया,5
तस्मा॑,5
ता॒दृगे॒व,5
तृतीयकाण्डे,5
तैलं,5
दत्ता,5
ददौ,5
दधातु,5
दम्प॑ती,5
दर्शनं,5
दिशो॒,5
दि॒व्या,5
देवस्य,5
देवा,5
देवेश,5
दे॑व,5
दे॒वस्य॑,5
दे॒वानां,5
दे॒वी,5
दे॒वेषु॑,5
द्रष्टुं,5
द्वाद॑शकपालं॒,5
द॑र्,5
ध्रुवम्,5
ध्वनि,5
नच,5
नमः॒,5
नाम॑,5
निर्व॑पति॒,5
निवर्तते,5
नैवेद्यं,5
न्यायालयस्य,5
पञ्च॑,5
पञ्च॑वि,5
परः,5
परित्यज्य,5
परि॑,5
पशोः,5
पश्यति,5
पाठे,5
पादः॑,5
पापं,5
पिता,5
पि॒तरो,5
पि॒ता,5
पु,5
पुत्र,5
पुत्रके,5
पुमान्,5
पुरुष,5
पुरुषः,5
पूजयेत्,5
पूजा,5
पू॒र्णा,5
पौ,5
प्रतिजानीते,5
प्रतीयते,5
प्रत्ये॒व,5
प्रथम,5
प्रथ॒मं,5
प्रधानमन्त्री,5
प्रभुः,5
प्रसज्यते,5
प्रसिद्धा,5
प्रातःकाले,5
प्राप्यते,5
प्रा॒ण,5
प्रा॒णाय॑,5
प॒शवः॑,5
प॒शूने॒व,5
फलम्,5
बहूनि,5
बार्,5
बाल्ये,5
बुद्धौ,5
बुधः,5
ब्रह्मण,5
ब्रह्मणः,5
ब्रह्मवा॒दिनो॑,5
भगवं,5
भागं,5
भाति,5
भार्या,5
भावयेत्,5
भुवनानां,5
भूतं,5
भेदमाह,5
भोः,5
भोगस्य,5
भोगो,5
मनो,5
मन्तव्यम्,5
मन्त्र,5
मन्दिरम्,5
मलस्य,5
मलादि,5
महापुराणे,5
महि॒,5
मह्यं,5
माम्,5
मिति,5
मिथु॑न,5
मोक्षं,5
यच्छ्रूयते,5
यस्तु,5
याः,5
यादवः,5
युक्तं,5
युक्ता,5
रक्ष,5
रागो,5
राजानं,5
री॒ढ्वम्,5
रूपाणि,5
लिप्,5
लोकेषु,5
लो॒के,5
ल॑भेत॒,5
वक्ष्यति,5
वक्ष्यामः,5
वत्स,5
वदति,5
वने,5
वसी॑यान्भवति,5
वाक्यम्,5
वारु॒णं,5
वासा॒,5
वासुदेवः,5
विज्ञाना,5
विधाय,5
विधिः,5
विभाव्य,5
विभुः,5
विश्वस्य,5
वीर्यपारमितायां,5
वी॒र्यं॑,5
वेदना,5
व्यक्ते,5
व्यज्यते,5
व्यवस्था,5
व्यासः,5
शक्या,5
शक्व॑री,5
शब्दस्य,5
शरणं,5
शरीरं,5
शा,5
शाकम्भरीदेव्याः,5
शिखा,5
शिव,5
शिवो,5
शिष्यं,5
शुभे,5
श्रीधरः,5
श्रीमत्किरणे,5
श्रीमत्स्वायम्भुवे,5
श्रुतिः,5
श॒स्त्रं,5
सकल,5
सप्तार्णं,5
समयी,5
समासाद्य,5
सम्बन्धः,5
सर्वतः,5
सर्वेषु,5
सवि॒ता,5
सहैव,5
सां,5
साक्षाद्,5
साधु,5
सारं,5
सारस्व॒तं,5
सिद्धा,5
सुत,5
सुराः,5
सू,5
सूचितम्,5
सोमा॑य,5
सौ॒म्यं,5
स्थानेषु,5
स्थित्वा,5
स्पर्शदीक्षा,5
स्मृता,5
स्वं,5
स्वस्य,5
स्वा,5
हस्प॒त्यं,5
हिरण्यं,5
हे,5
ऽना,5
॒शच्च॑,5
॒सि,5
अथो,4
अधिकं,4
अधिकृत्य,4
अधि॑,4
अनु,4
अन्यादृशम्,4
अयमर्थः,4
अवश्यं,4
अवसरः,4
असद्यो,4
अस्मै,4
अस्याः,4
अ॒ग्निः,4
अ॒यं,4
अ॒हं,4
आचार्यः,4
आत्मनो,4
आत्मा,4
आध्यक्ष्ये,4
आ॒ग्ने॒यम॒ष्टाक॑पालं॒,4
आ॒ह॒,4
इत्यन्वयः,4
इत्यस्ति,4
इत्यादिना,4
इत्या॑ह॒,4
इत्येव,4
इन्,4
इव॒,4
इष,4
इहैव,4
उन्देर्,4
उपदिश्यस्य,4
उप॑हूत॒स्योप॑हूतो,4
उ॒क्थं,4
उ॒प॒या॒मगृ॑हीतो,4
एतदेव,4
एतस्य,4
एता,4
एतानि,4
एति,4
एतेषु,4
एम्,4
ए॑नं,4
ए॒षो,4
ओ,4
कः,4
कथम्,4
कथितं,4
कर्णे॑भिः,4
कर्तृत्वं,4
कर्तृत्वम्,4
कर्मभिः,4
कर्मवशतो,4
कर्मसु,4
कर्मेन्द्रियाणि,4
कर्मैव,4
कलौ,4
कस्य,4
कामा॑य,4
कालः,4
कालस्य,4
किमपि,4
किर्त्,4
कुर्यात्,4
कूर्म्प्,4
कृतम्,4
कृतस्य,4
केचित्,4
केन्द्रसर्वकारेण,4
क्रियाः,4
क्षेतै॒ष,4
गन्धः,4
गमयति,4
गुणैः,4
गुरोः,4
गृ॑ह्णाति,4
ग्ब्र्,4
ग्रामे,4
घृतं,4
घृ॒तेन॒,4
चक्रे,4
चक्षुषा,4
चणकः,4
चतुर्थः,4
चन्द्रस्य,4
चात्र,4
चान्ये,4
चित्राणि,4
चेत्यर्थः,4
छन्द॑सामवतु,4
जगतः,4
जग॑ती,4
जनानां,4
जनान्,4
जलं,4
जाघनी,4
जातम्,4
जातु,4
जानन्ति,4
जुहाव,4
जु॑होमि,4
जु॒होति॑,4
ज्ञातुं,4
ज्ञान,4
ज्ञेयम्,4
ज्योति॑ष्मते॒,4
ज्योति॑ष्मन्तं,4
ज॑नयति,4
ज॑यति,4
ज॑यत्यृ॒तस्य॑,4
ततो॑,4
ततो॒,4
तत्रापि,4
तत्वं,4
तथेति,4
तदपि,4
तदा॑है॒तन्मे॑,4
तदेवं,4
तपसि,4
तपस्तेपे,4
तपस्वी,4
तयो॑रे॒तौ,4
तर्पयत॒,4
तव॑,4
तस्मान्नः,4
तस्मै॑,4
तस्मै॒,4
तस्यापि,4
तात,4
ताभ्यः॒,4
तावद्,4
तासां,4
तिरुवनन्तपुरं,4
ति॑ष्ठ,4
ति॑ष्ठति॒,4
तृतीयं,4
तेषा॑मेषा॒,4
त्यै,4
त्रयो,4
त्रि,4
त्र्यक्षरं,4
त्वम्,4
त्व्,4
त्स्,4
त॑नोति॒,4
त॑र्पयति॒,4
थे,4
दलस्य,4
दा,4
दास्यति,4
दिनाङ्के,4
दिनानि,4
दिवि,4
दिव्यं,4
दिशि,4
दि॒वः,4
दि॒वे,4
दीक्षां,4
दीयते,4
दु॑हा॒मा,4
दृश्यन्ते,4
देवाश्च,4
देवो,4
दे॒वता॒,4
दे॒वहि॑तं॒,4
दे॒वेभ्यः॑,4
द्,4
द्यौः,4
द्रवि॑णं,4
द्वयोः,4
द्वादश,4
द्विजोत्तमाः,4
द्वितीये,4
द्विथा,4
द॑दातु,4
द॑धाति,4
धनं,4
धनम्,4
धर्मस्य,4
धीमहि,4
धेहि,4
नगरस्य,4
नरा॒श,4
नर्,4
नव,4
नवदहली,4
नहि,4
ना,4
नाथ,4
नापि,4
नामेत्या॑ह,4
नारी,4
निधाय,4
नियमेन,4
निर्देशः,4
निर्वाणदा,4
निवृत्यादि,4
निश्चयो,4
न्यसेत्,4
न॑मत्ये॒ता,4
न॒रकः,4
न॒स्तार्क्ष्यो॒,4
पञ्चमः,4
पत्नीसंयाजा,4
पत॑यो,4
पदाध्वा,4
पप्रच्छ,4
परितः,4
परियोजनायाः,4
परिहरति,4
परि॒,4
पा,4
पात्रि॑यः,4
पात्र॑मसि॒,4
पाशः,4
पाशत्रय,4
पाशानां,4
पितरं,4
पितरः,4
पितामह,4
पितुः,4
पीठस्य,4
पुंसां,4
पुरस्कृत्य,4
पुराणि,4
पुरुषे,4
पु॒त्र॒व॒त्वाय॑,4
पू,4
पूर्व,4
पूर्ववत्,4
पृच्छामि,4
पृथिव्यां,4
पृथिव्यादि,4
पृ॑थि॒वी,4
पृ॑थि॒व्या,4
पौरुषं,4
प्रकल्पयेत्,4
प्रकृतिं,4
प्रकृतिः,4
प्रतिष्ठापयति,4
प्रथमम्,4
प्रथमा,4
प्रदेशेषु,4
प्रमेयदीपिका,4
प्रयत्नेन,4
प्रयोजिका,4
प्रसादं,4
प्राक्,4
प्राणो,4
प्रातः,4
प्राप्ता,4
प्रा॒णं,4
प्रा॒णः,4
प्रोक्तः,4
प्र॒जाप॑तये॒,4
प्र॒जाप॑तिर्य॒ज्ञः,4
प्र॒जावा,4
प्र॒त्यक्षे॑ण,4
प॑रिपा॒हि,4
प॑श्येमा॒क्षभि॒र्यज॑त्राः,4
प॒शून्,4
बलवतां,4
बहु,4
बहुधा,4
बालानां,4
बुद्धभूमौ,4
बुद्धेः,4
बृह॒स्पति॑र्दधातु,4
बे,4
ब्रह्मणा,4
ब्रह्मणे,4
ब्रह्म॑ण,4
ब्राह्मणः,4
भक्ति,4
भक्षयामि,4
भर,4
भवती,4
भवन्तु,4
भविता,4
भव॑त्या॒त्मना॒,4
भारतदलं,4
भावा,4
भावाः,4
भावि,4
भावे,4
भावेन,4
भाषमाणः,4
भाष्यम्,4
भाष्ये,4
भिन्ना,4
भुवनेश्वरम्,4
भू,4
भूः,4
भू॒त्वा,4
भेदं,4
भोगं,4
भोग्ये,4
भ्म्ज्,4
भ्यः॒,4
भ्यस्त्वा,4
भ्य॒,4
भ्रातृ॑व्यो,4
भ॑वति॒,4
भ॒वति,4
मण्डलस्य,4
मत्वा,4
मधु,4
मधुना,4
मधु॑,4
मधु॑मत॒,4
मध्य॒तो,4
मनुष्या,4
मनुष्याणां,4
मन्यन्ते,4
मयि॑,4
मय्,4
महात्मनः,4
महापर्वतराजः,4
महामुनिः,4
महासत्त्वो,4
माता,4
मायां,4
मुखे,4
मुच्यते,4
मुने,4
मूले,4
मे॒धा,4
मोक्ष,4
मोदी,4
म्स्प्व्,4
म॒रुतो॑,4
म॒ही,4
यज्ञं,4
यज॑मानो,4
यत,4
यथायोग्यं,4
यथाविधि,4
यदायुः॑,4
यन्,4
यस्या,4
यस्यां,4
यां,4
युक्तम्,4
योगेन,4
य॒ज्ञम्,4
य॒ज्ञस्य॒,4
य॒ज्ञिया॑,4
रम्स्,4
रयी॒णाम्,4
रसः॑,4
रहोनुशासकं,4
राजा॒,4
राज्ञः॒,4
राज्ञो,4
रात्रौ,4
राम,4
रामस्य,4
रामेण,4
रावणस्य,4
राष्ट्रपतिः,4
राष्ट्रे,4
रा॑जन्,4
रिति,4
रुन्द्ध,4
रुन्धे,4
रु॒द्रो,4
रेतः॑,4
रेसेअर्छ्,4
लक्षणस्य,4
लभेत्,4
लिङ्गवत्,4
लेभे,4
लोकधर्मिणी,4
लोकानां,4
लो॒का,4
वचनात्,4
वदन्ति॒,4
वरु॑णो,4
वर्गः,4
वर्षस्य,4
वशं,4
वषट्का॒रेण॒,4
वसू,4
वसू॑नि,4
वस्तु,4
वां,4
वाक्,4
वाचकं,4
वाचा,4
वाथ,4
वायवे,4
वायौ,4
वासो,4
वा॒चो,4
विजयं,4
विज्ञानाकल,4
विज्ञानेन,4
विज्ञेया,4
विद्यन्ते,4
विधीयते,4
विन्यस्य,4
विवादपदम्,4
विशेष,4
विशेषमाह,4
विशोधयेत्,4
विश्वनाथः,4
विश्वा॑,4
